hashtag,tier,scan_frequency,category,notes
#homemadedogfood,1,daily,food,Core niche — highest relevance
#dognutrition,1,daily,food,Direct niche keyword
#canicross,1,daily,gps,Core running niche
#runningwithdog,1,daily,gps,Core running niche
#dogfoodrecipes,2,every_2_days,food,High volume, good engagement
#healthydogfood,2,every_2_days,food,Broad but targeted
#rawdogfood,2,every_2_days,food,Raw diet community — active
#dogrunning,2,every_2_days,gps,Running niche variant
#dogwellness,3,weekly,health,Broad health niche
#holisticdog,3,weekly,health,Health-focused community
#dogmom,3,weekly,general,High volume, lower relevance
#dogdad,3,weekly,general,High volume — good for brand fit
#activedog,3,weekly,gps,Active lifestyle niche
#dogfoodreview,2,every_2_days,food,Review content — high fit
#gpsdogcollar,1,daily,gps,Very targeted — our exact niche
#gpsdogtracker,1,daily,gps,Very targeted — our exact niche
#tractivegps,2,every_2_days,gps,Competitor brand — monitor
#ficollar,2,every_2_days,gps,Competitor brand — monitor
#dogfoodingredients,2,every_2_days,food,Ingredient research community
#rawfeeding,2,every_2_days,food,Raw diet community
#barf diet,3,weekly,food,Raw/BARF diet community
#homecookeddog,2,every_2_days,food,Homemade food niche
#traildog,2,every_2_days,gps,Trail running with dog
#hikingwithdog,2,every_2_days,gps,Hiking/outdoor dog community
#doghealth,3,weekly,health,General health — broad
#naturaldogfood,2,every_2_days,food,Natural food niche
